29,LV10,,,,
敌人编号,敌人个数,出现间隔,出现时间,阶段（击溃后继续）,路线
08,1,0,3,0,D4-D5:20-D6-B5-B2-F2-F7-E8-D8-D11
O1,1,0,8,0,F1-F7-D9-D11
B2,1,0,12,0,F1-F7-D9-D11
B2,1,0,12,0,F1-F7-D9-D11
O1,1,0,15,0,F1-F7-D9-D11
O1,1,0,23,0,F1-F7-D9-D11
B2,2,1,25,0,F1-F7-D9-D11
B2,3,2,33,0,F1-F7-D9-D11
17,1,0,39,0,F1-F7-D9-D11
01,1,0,45,0,F1-F7-D9-D11
17,1,0,50,0,F1-F7-D9-D11
01,1,0,53,0,F1-F7-D9-D11
19,3,18,71,0,D4-D6-B5-B2-F2-F7-E8-D8-D11
O1,2,0.5,73,0,F1-F7-D9-D11
O1,2,0.5,78,0,F1-F7-D9-D11
17,1,0,83,0,F1-F7-D9-D11
A9,1,0,88,0,F1-F7-D9-D11
17,1,0,93,0,F1-F7-D9-D11
O1,2,0.5,100,0,F1-F7-D9-D11
17,3,7,108,0,F1-F7-D9-D11
A9,3,7,109,0,F1-F7-D9-D11
08,1,0,146,0,D4-D5:8-D6-B5-B2-F2-F7-E8-D8-D11
O1,3,0.5,148,0,F1-F7-D9-D11
17,2,1,153,0,F1-F7-D9-D11
A9,2,1,158,0,F1-F7-D9-D11
01,2,1,163,0,F1-F7-D9-D11
A9,2,6,170,0,F1-F7-D9-D11
01,2,6,171,0,F1-F7-D9-D11
17,3,6,172,1,F1-F7-D9-D11
