19,LV10,,,,
敌人编号,敌人个数,出现间隔,出现时间,阶段（击溃后继续）,路线
08,1,0,0,0,D4-D5:35-D6-B5-B2-F2-F7-E8-D8-D11
01,1,0,0,0,A8-B8:11-C8-D9-D11
01,1,0,13,0,A8-C8-D9-D11
01,1,0,22,0,A8-C8-D9-D12
01,1,0,27,0,A8-C8-D9-D13
01,2,3,38,0,A8-C8-D9-D14
A9,1,0,45,0,A8-C8-D9-D14
18,1,0,54,0,A8-C8-D9-D14
A9,1,0,57,0,A8-C8-D9-D14
08,2,30,60,0,D4-D6-B5-B2-F2-F7-E8-D8-D12
18,1,0,72,0,A8-C8-D9-D14
01,1,0,78,0,A8-C8-D9-D14
01,3,4,86,0,A8-C8-D9-D14
18,1,0,96,0,A8-C8-D9-D14
A9,1,0,100,0,A8-C8-D9-D14
18,1,0,101,0,A8-C8-D9-D14
18,2,3,105,0,A8-C8-D9-D14
A9,2,1,109,0,A8-C8-D9-D14
27,1,0,113,1,D4-D6-B5-B2-F2-F7-E8-D8-D12
