22, 数据部分有几行,,,,
敌人编号,敌人个数,出现间隔,出现时间,阶段（击溃后继续）,路线
17,1,0,8,0,D1-D2:13-D10
B1,2,1,11,0,D1-D10
B1,2,1,17,0,H2-G2-G9
B1,2,1,29,0,H2-G2-G9
17,2,4,30,0,D1-D10
B1,2,1,37,0,C1-D6-D10
B1,3,1,41,0,D1-D10
B1,3,1,46,0,C1-D6-D10
17,3,4,55,0,D1-D10
B1,3,1,66,0,H2-G2-G9
B1,4,1,67,0,D1-D10
01,1,0,73,0,C1-D6-D10
01,1,0,78,0,H2-G2-G9
19,2,3,79,0,D1-D10
01,2,4,87,0,C1-D6-D10
01,2,7,93,0,H2-G2-G9
01,1,0,96,0,C1-C2:16-D6-D10
01,1,0,96,0,D1-D2:15-D10
A9,1,0,96,0,H2-G2:15-G9
21,1,0,103,0,D1-D10
19,1,0,104,0,C1-D6-D10
A9,1,0,114,1,D1-D10
