40, 数据部分有几行,,,,
敌人编号,敌人个数,出现间隔,出现时间,阶段（击溃后继续）,路线
17,1,0,4,0,E11-E1
17,1,0,10,0,E11-E1
B2,1,0,19,0,D11-D1
17,1,0,25,0,D11-D1
B2,1,0,32,0,E11-E1
B2,1,0,34,0,D11-D1
B2,2,0.7,37,0,E11-E1
B2,2,4,39,0,D11-D1
O1,1,0,55,0,F11-F1
O1,1,0,57,0,C11-C1
D1,1,0,63,0,E11-E1
D1,1,0,64,0,D11-D1
B2,2,0.8,66,0,F11-F1
B2,2,0.8,67,0,C11-C1
01,1,0,69,0,E11-E1
01,1,0,70,0,D11-D1
D1,2,22,88,0,E11-E1
D1,2,22,88,0,D11-D1
17,3,13,91,0,E11-E1
17,3,13,91,0,D11-D1
01,2,20,92,0,F11-F1
01,2,20,92,0,C11-C1
O1,2,13,95,0,E11-E1
O1,1,0,108,0,D11-D1
17,1,0,135,0,F11-F1
17,1,0,135,0,C11-C1
D1,2,15,135,0,E11-E1
D1,2,15,135,0,D11-D1
01,1,0,140,0,F11-F1
01,1,0,140,0,C11-C1
B2,2,5,142,0,E11-E1
B2,2,5,143,0,D11-D1
17,1,0,163,0,F11-F1
17,1,0,164,0,E11-E1
17,1,0,165,0,D11-D1
17,1,0,166,0,C11-C1
17,1,0,167,0,F11-F1
A9,1,0,168,0,E11-E1
A9,1,0,169,0,D11-D1
17,1,0,170,1,C11-C1
