25,LV10,,,,
敌人编号,敌人个数,出现间隔,出现时间,阶段（击溃后继续）,路线
01,1,0,3,0,E1-E8-B8-B10
01,2,4,14,0,E1-E8-B8-B10
O1,1,0,27,0,A2-B2-B5-D5-D8-B8-B10
O1,1,0,33,0,G10-G5-E5-E8-B8-B10
A9,1,0,36,0,A2-B2-B5-D5-D8-B8-B10
01,1,0,55,0,E1-E8-B8-B10
01,2,2,58,0,E1-E8-B8-B10
O1,2,2,63,0,A2-B2-B5-D5-D8-B8-B10
O1,2,2,63,0,G10-G5-E5-E8-B8-B10
A9,2,12,66,0,G10-G5-E5-E8-B8-B10
01,1,0,70,0,E1-E8-B8-B10
O1,2,6,73,0,A2-B2-B5-D5-D8-B8-B10
01,1,0,77,0,E1-E8-B8-B10
A9,2,9,83,0,A2-B2-B5-D5-D8-B8-B10
01,1,0,85,0,E1-E8-B8-B10
21,1,0,92,0,E1-E8-B8-B10
01,2,1,110,0,E1-E8-B8-B10
O1,1,0,110,0,A2-B2-B5-D5-D8-B8-B10
O1,1,0,110,0,G10-G5-E5-E8-B8-B10
A9,2,9,111,0,A2-B2-B5-D5-D8-B8-B10
A9,2,9,111,0,G10-G5-E5-E8-B8-B10
O1,1,0,114,0,A2-B2-B5-D5-D8-B8-B10
O1,1,0,114,0,G10-G5-E5-E8-B8-B10
01,1,0,116,0,E1-E8-B8-B10
21,1,0,120,1,E1-E8-B8-B10
